armor	classs	commondrop	displayid	dps	flags2	id	level	name	reqclass	reqlevel	reqrace	side	slot	slotbak	source__001	source__002	sourcemore__bd	sourcemore__c	sourcemore__c2	sourcemore__icon	sourcemore__dd	sourcemore__n	sourcemore__s	sourcemore__t	sourcemore__ti	sourcemore__z	speed	subclass	firstseenpatch	popularity	contentPhase
	2		34111	50.56	8192	17071	69	4Gutgore Ripper		60			13	13	2		1					Garr		1	12057	2717	1.8	15	0	510	1
	2		20273	36.67	8192	10828	56	5Dire Nail		51			13	13	2		1				-1	Shade of Eranikus		1	5709	1477	1.5	15	0	502	1
	2		20594	20.53	8192	1465	38	6Tigerbane		33			13	13	2												1.9	15	0	501	1
	2		32592	34.62	8192	20035	52	5Glacial Spike					13	13													1.3	15	0	500	4
	2		20354	10	8192	5627	20	6Relic Blade		15		1	13	13	4			148	1			The Absent Minded Prospector		5	943		1.8	15	0	490	1
	2		20589	16.33	8192	3413	25	5Doomspike		20			13	13	2						-1					719	1.5	15	0	477	1
	2		20592	16.75	8192	4454	26	5Talon of Vultros		21			13	13	2							Vultros		1	462	40	2	15	0	468	1
	2		30724	37.5	8192	24222	57	5The Shadowfoot Stabber		52			13	13	2							Qiraji Brigadier General Pax-lish		1	15817		1.8	15	0	458	6
	2		26679	41.33	8192	13984	63	5Darrowspike		57			13	13	4			2057	2			"The Lich, Ras Frostwhisper"		5	5466		1.5	15	0	454	1
	2		29931	33.24	8192	17752	50	5Satyr's Lash		45			13	13	2		1				-1	Lord Vyletongue		1	12236	2100	1.7	15	0	437	1
	2		6443	40.77	8192	18392	62	5Distracting Dagger		57			22	22	2		1				-1	Prince Tortheldrin		1	11486	2557	1.3	15	0	434	2
	2		6439	11.47	8192	5540	23	6Pearl-handled Dagger		18			13	13	1			11		inv_weapon_shortblade_05		Pearl-handled Dagger	164	6	6517		1.7	15	0	422	1
	2		35246	65.31	8192	23044	83	4Harbinger of Doom		60			13	13	2												1.6	15	0	418	6
	2		24990	9	8192	14151	18	6Chanting Blade		13			13	13	2						-1	Jergosh the Invoker		1	11518	2437	1.5	15	0	416	1
	2		3363	41.33	8192	5267	63	5Scarlet Kris		58			13	13	2												1.5	15	0	415	1
	2		31605	42.5	8192	19099	65	5Glacial Blade		60			13	13													1.8	15	0	408	3
	2		32074	21.18	8192	19545	33	5Scout's Blade		28			13	13													1.7	15	0	400	3
	2		30724	40.71	8192	18372	62	5Blade of the New Moon		57			21	21	2		1				-1	Immol'thar		1	11496	2557	1.4	15	0	379	2
	2		25614	40.71	8192	13368	62	5Bonescraper		57			13	13	2						-1	Baron Rivendare		1	10440	2017	1.4	15	0	378	1
	2		20333	23.93	8192	6331	36	5Howling Blade		31			13	13	2						-1	Skhowl		1	2452	36	1.4	15	0	364	1
	2		20369	16.67	8192	4446	26	5Blackvenom Blade		21			13	13	2							Rohh the Silent		1	947	44	1.8	15	0	343	1
	2		35589	22.86	8192	23168	35	5Scorn's Focal Dagger		30			13	13													1.4	15	0	339	6
	2		31820	47.22	8192	19324	65	4The Lobotomizer		60			13	13													1.8	15	0	331	3
	2		31337	42.14	8192	18878	65	4Sorcerous Dagger		60			21	21	2		1									2717	1.4	15	0	329	1
	2		33734	51.67	8192	21404	70	4Dagger of Veiled Shadows	8	60			13	13													1.8	15	0	319	5
	2		6445	12.78	8192	3490	25	6Deadly Bronze Poniard		20			13	13	1			11		inv_weapon_shortblade_05		Deadly Bronze Poniard	164	6	3295		1.8	15	0	305	1
	2		6434	10	8192	3848	20	6Big Bronze Knife		15			13	13	1			11		inv_weapon_shortblade_04		Big Bronze Knife	164	6	3491		1.9	15	0	298	1
	2		22247	16.75	8192	12247	32	6Broad Bladed Knife		27			13	13	5												2	15	0	293	1
	2		20315	32.86	8192	10625	49	5Stealthblade		44			13	13	2						-1	Mijan		1	5717	1477	1.4	15	0	286	1
	2		20376	31.56	8192	5616	47	5Gutwrencher		42			13	13	2		1				-1	Theka the Martyr		1	7272	1176	1.6	15	0	277	1
	2		22721	33.89	8192	12531	51	5Searing Needle		46			13	13	2						-1					1584	1.8	15	0	270	1
	2		35094	41.41	8192	22688	66	5Verimonde's Last Resort					21	21													1.4	15	0	269	6
	2		32074	29.12	8192	19544	43	5Scout's Blade		38			13	13													1.7	15	0	266	3
	2		32575	49.74	8192	19859	68	4Fang of the Faceless		60			13	13	2		1					Hakkar		1	14834	1977	1.9	15	0	264	4
	2		29706	41.47	8192	17070	70	4Fang of the Mystics		60			13	13	2							Azuregos		1	6109		1.5	15	0	263	2
	2		32075	21.18	8192	19549	33	5Sentinel's Blade		28			13	13													1.7	15	0	260	3
	2		20475	25	8192	9680	43	6Tok'kar's Murloc Shanker		35		2	13	13	4			8	0			Threat From the Sea		5	1427		1.6	15	0	255	1
	2		4119	18.67	8192	12259	36	6Glinting Steel Dagger		31			13	13	1			11		inv_weapon_shortblade_05		Glinting Steel Dagger	164	6	15972		1.5	15	0	255	1
	2		25609	37.67	8192	11922	57	5Blood-etched Blade		52			13	13	2		1				-1					1584	1.5	15	0	253	1
	2		32075	15.29	8192	20443	23	5Sentinel's Blade		18			13	13													1.7	15	0	253	3
	2		20349	11.11	8192	6448	22	6Tail Spike		17			13	13	2		1				-1	Skum		1	3674	718	1.8	15	0	252	1
35	2		32648	41.65	8192	20214	65	4Mindfang		60			13	13	5							Rutherford Twing		1	15126	45	1.7	15	0	248	4
	2		28789	39.44	8192	12582	60	5Keris of Zul'Serak		55			13	13	2		1				-1	War Master Voone		1	9237	1583	1.8	15	0	248	1
	2		28312	26.67	8192	11856	45	6Ceremonial Elven Blade		40		1	13	13	4			357	1			A Hero's Welcome		5	4266		1.8	15	0	244	1
	2		20596	13.61	8192	5752	26	6Wyvern Tailspike		21			13	13	2							Pridewing Patriarch		1	4015	406	1.8	15	0	241	1
	2		28199	9	8192	15443	18	6Kris of Orgrimmar		9		2	13	13	4			1637	1			Hidden Enemies		5	5730		1.5	15	0	218	1
	2		22136	3.33	8192	2494	8	7Stiletto		3			13	13	5												1.5	15	0	218	1
	2		34513	66.39	8192	21126	84	4Death's Sting		60			13	13	2		1					C'Thun		1	15727	3428	1.8	15	0	210	5
	2		20439	13.75	8192	4449	27	6Naraxis' Fang		22			13	13	2						-1	Naraxis		1	574	10	1.6	15	0	200	1
	2		32074	15.29	8192	20441	23	5Scout's Blade		18			13	13													1.7	15	0	198	3
	2		23791	40.31	8192	13218	61	5Fang of the Crystal Spider		56			13	13	2		1				-1	Crystal Fang		1	10376	1583	1.6	15	0	194	1
	2		34849	42.5	8192	22377	65	5The Thunderwood Poker		60			13	13	4			1377	1			The Perfect Poison		5	9023		1.8	15	0	190	5
	2		32075	29.12	8192	19548	43	5Sentinel's Blade		38			13	13													1.7	15	0	185	3
	2		20605	10	8192	2908	20	6Thornblade		16		1	13	13	4			38	0			A Dark Threat Looms		5	283		1.6	15	0	181	1
	2		22248	17.5	8192	12248	34	6Daring Dirk		29			13	13	5												1.6	15	0	178	1
	2		6459	9.67	8192	899	19	6Venom Web Fang		14			13	13	2							Venom Web Spider		1	217	10	1.5	15	0	172	1
	2		20573	25.71	8192	3187	44	6Sacrificial Kris		39			13	13	2												1.4	15	0	170	1
	2		31381	59.5	8192	18840	78	4High Warlord's Razor		60			13	13													2	15	0	167	2
	2		6443	14.62	8192	2819	28	6Cross Dagger		23			13	13	2												1.3	15	0	165	1
	2		31864	55.28	8192	19346	74	4Dragonfang Blade		60			13	13	2		1					Vaelastrasz the Corrupt		1	13020	2677	1.8	15	0	164	3
	2		20435	5.31	8192	1917	10	6Jeweled Dagger		5			13	13	2							Morgaine the Sly		1	99	12	1.6	15	0	161	1
	2		33992	57.35	8192	21522	76	4Shadowsong's Sorrow		60			13	13													1.7	15	0	154	5
	2		28568	15.71	8192	15242	30	6Honed Stiletto		25			13	13	2												1.4	15	0	151	1
	2		30827	37.67	8192	18491	57	5Lorespinner					21	21													1.5	15	0	149	2
	2		6440	5.94	8192	2140	11	6Carving Knife		6			13	13	2												1.6	15	0	149	1
	2		31865	42.33	8192	19347	77	4Claw of Chromaggus		60			13	13	2		1					Chromaggus		1	14020	2677	1.5	15	0	148	3
	2		28348	18.93	8192	15243	36	6Deadly Kris		31			13	13	2												1.4	15	0	141	1
	2		20570	35.67	8192	10697	60	6Enchanted Azsharite Felbane Dagger		45			13	13	4			33	0			Enchanted Azsharite Fel Weaponry		5	3625		1.5	15	0	140	1
	2		20411	9.64	8192	5279	20	6Harpy Skinner		12		2	13	13	4			17	1			Serena Bloodfeather		5	876		1.4	15	0	140	1
	2		25611	35.71	8192	12062	60	6Skilled Fighting Blade		50		1	13	13	4			1584	2			Jail Break!		5	4322		1.4	15	0	133	1
	2		32075	41.47	8192	19546	63	5Sentinel's Blade		58			13	13													1.7	15	0	129	3
35	2		32648	41.65	8192	20070	65	4Sageclaw		60			13	13	5							Samuel Hawke		1	15127	45	1.7	15	0	127	4
	2		34478	41.5	8192	21802	68	5The Lost Kris of Zedd		60			21	21													1.5	15	0	126	5
	2		20598	9.64	8192	2235	19	6Brackclaw		14			13	13	2							Brack		1	520	40	1.4	15	0	126	1
	2		22258	21.43	8192	12260	39	6Searing Golden Blade		34			13	13	1			11		inv_weapon_shortblade_05		Searing Golden Blade	164	6	15973		1.4	15	0	124	1
	2	TRUE	20396	10	8192	3184	20	6Hook Dagger		15			13	13	2												1.5	15	0	122	1
	2		33991	41.5	8192	21523	76	4Fang of Korialstrasz		60			21	21													1.8	15	0	121	5
	2		6555	37.5	8192	22266	57	5Flarethorn		52			13	13	2		1				-1	Gorosh the Dervish		1	9027	1584	1.8	15	0	121	5
	2		20473	7.19	8192	2632	14	6Curved Dagger		9			13	13	2												1.6	15	0	120	1
	2		33095	52.5	8192	20578	71	4Emerald Dragonfang		60			13	13	2							Ysondre		1	14887		1.8	15	0	117	4
	2		34142	60.59	8192	21244	79	4Blessed Qiraji Pugio		60			13	13	4			3428	3			Imperial Qiraji Armaments		5	8789		1.7	15	0	115	5
	2		20592	40	8192	14024	61	5Frightalon		56			13	13	2						-1	Kirtonos the Herald		1	10506	2057	1.4	15	0	115	1
	2		31379	59.5	8192	18838	78	4Grand Marshal's Dirk		60			13	13													2	15	0	114	2
	2		20472	12.67	8192	10049	25	6Diabolist's Blade	256				13	13													1.5	15	0	113	1
	2	TRUE	20430	8.53	8192	4571	17	6War Knife		12			13	13	2												1.7	15	0	113	1
	2		20347	9.67	8192	2169	21	7Buzzer Blade		16			13	13	2						-1	Sneed's Shredder		1	642	1581	1.5	15	0	112	1
	2		20414	13.44	8192	15241	26	6Battle Knife		21			13	13	2												1.6	15	0	109	1
	2		3550	4.06	8192	5605	10	7Pruning Knife		4		1	13	13	4			141	1			Tumors		5	923		1.6	15	0	105	1
	2		35244	41.48	8192	22803	81	4Midnight Haze		60			13	13	2		1					Grobbulus		1	15931	3456	1.8	15	0	104	6
	2		28327	38.24	8192	15247	64	6Bloodstrike Dagger		59			13	13	2												1.7	15	0	103	1
	2		3175	23.82	8192	15244	42	6Razor Blade		37			13	13	2												1.7	15	0	102	1
	2		28520	28	8192	4088	47	6Dreadblade		42			13	13	2												1.5	15	0	101	1
	2		26433	33.67	8192	15706	57	6Hunt Tracker Blade		49			13	13	4			361	1			The Remains of Trey Lightforge		5	5385		1.5	15	0	100	1
	2	TRUE	8028	5	8192	5516	16	8Threshadon Fang		11			13	13	2												1.5	15	0	97	1
	2		33734	41.67	8192	21416	70	4Kris of Unspoken Names	256	60			13	13													1.5	15	0	96	5
	2		36080	41.5	8192	23466	78	4High Warlord's Spellblade		60			13	13													2	15	0	92	6
	2		28779	35.71	8192	11635	54	5Hookfang Shanker		49			13	13	2		1				-1	Hedrum the Creeper		1	9032	1584	1.4	15	0	90	1
	2		20574	40.83	8192	18758	62	5Specter's Blade		57			13	13	2						-1	Death Knight Darkreaver		1	14516	2057	1.8	15	0	85	1
	2		6447	7.5	8192	1287	15	6Giant Tarantula Fang		10			13	13	2							Tarantula		1	442	44	1.4	15	0	84	1
	2		34859	41.37	8192	22379	65	5Shivsprocket's Shiv		60			21	21	4			1377	1			The Perfect Poison		5	9023		1.5	15	0	83	5
	2		24046	41.33	8192	13360	63	5Gift of the Elven Magi		58			13	13	2						-1					2017	1.5	15	0	83	1
	2		20604	11.05	8192	6333	22	6Spikelash Dagger		17			13	13	2							Lady Vespira		1	7016	148	1.9	15	0	83	1
	2		20399	8.93	8192	1936	18	6Goblin Screwdriver		13			13	13	2						-1	Goblin Engineer		1	622	1581	1.4	15	0	82	1
	2		32439	41	8192	19965	68	5Wushoolay's Poker		60			21	21	2							Wushoolay		1	15085	1977	1.6	15	0	75	4
	2		20299	36.94	8192	15246	62	6Demon Blade		57			13	13	2												1.8	15	0	74	1
	2		22140	24.06	8192	2534	44	7Rondel		39			13	13	5												1.6	15	0	73	1
	2		32074	41.47	8192	19542	63	5Scout's Blade		58			13	13													1.7	15	0	72	3
	2		35709	65.28	8192	22804	83	4Maexxna's Fang		60			13	13	2		1					Maexxna		1	15952	3456	1.8	15	0	71	6
	2		22139	10.94	8192	2209	24	7Kris		19			13	13	5												1.6	15	0	71	1
	2		20407	8.89	8192	2089	18	6Scrimshaw Dagger		14		1	13	13	4			1581	2			Red Silk Bandanas		5	214		1.8	15	0	70	1
	2		21620	41.5	8192	20720	65	5Dark Whisper Blade		60			21	21													1.4	15	0	68	4
	2		6448	29.69	8192	15245	50	6Vorpal Dagger		45			13	13	2												1.6	15	0	67	1
	2		22137	7.14	8192	2207	16	7Jambiya		11			13	13	5												1.4	15	0	67	1
	2		16130	30.33	8192	7947	51	6Ebon Shiv		46			13	13	1			11		inv_weapon_shortblade_14		Ebon Shiv	164	6	10013		1.5	15	0	65	1
	2		36045	41.5	8192	23451	78	4Grand Marshal's Mageblade		60			13	13													2	15	0	62	6
	2		32075	35	8192	19547	53	5Sentinel's Blade		48			13	13													1.7	15	0	62	3
	2		32576	41.31	8192	19903	65	4Fang of Venoxis		60			21	21	2		1					High Priest Venoxis		1	14507	1977	1.3	15	0	60	4
	2		33069	35.28	8192	20647	59	6Black Crystal Dagger		54			21	21	4			1377	1			"Wanted - Deathclasp, Terror of the Sands"		5	8283		1.8	15	0	59	4
	2		20414	9.06	8192	3581	18	6Serrated Knife		12		2	13	13	4			130	0			Wand to Bethor		5	491		1.6	15	0	58	1
	2		26464	35.59	8192	15783	60	6Beasthunter Dagger		53			13	13	4			618	1			Shy-Rotam		5	5056		1.7	15	0	57	1
	2		22142	8.46	8192	2208	19	7Poniard		14			13	13	5												1.3	15	0	57	1
	2		33894	48.16	8192	21498	66	4Qiraji Sacrificial Dagger		60			13	13	2		1					Kurinnaxx		1	15348	3429	1.9	15	0	56	5
	2		6470	8.67	8192	820	17	6Slicer Blade		12			13	13	2							Harvest Reaper		1	115	40	1.5	15	0	54	1
	2		3006	6.33	8192	4974	12	6Compact Fighting Knife		5		2	13	13	4			215	1			Supervisor Fizsprocket		5	765		1.5	15	0	53	1
	2		20603	6	8192	4947	11	6Jagged Dagger		4		2	13	13	4			14	1			Skull Rock		5	827		1.5	15	0	53	1
	2		22141	16.56	8192	2526	34	7Main Gauche		29			13	13	5												1.6	15	0	49	1
	2		20492	8.93	8192	2020	18	6Hollowfang Blade		13			13	13	2							Pygmy Venom Web Spider		1	539	10	1.4	15	0	48	1
	2		20427	7	8192	2266	13	6Stonesplinter Dagger		8			13	13	2							Stonesplinter Seer		1	1166	38	1.5	15	0	48	1
	2		20470	5	8192	2225	11	7Sharp Kitchen Knife		9		1	13	13	4			40	0			Westfall Stew		5	38		1.5	15	0	45	1
	2		32074	35	8192	19543	53	5Scout's Blade		48			13	13													1.7	15	0	44	3
	2		20451	6.76	8192	2218	13	6Craftsman's Dagger		8		1	13	13	4			1	0			A Pilot's Revenge		5	417		1.7	15	0	44	1
	2		6472	6	8192	816	11	6Small Hand Blade		6			13	13	2							Harvest Golem		1	36	40	1.5	15	0	44	1
	2		13848	5	8192	7166	11	7Copper Dagger		6			13	13	1			11		inv_weapon_shortblade_14		Copper Dagger	164	6	8880		1.5	15	0	43	1
	2		6433	2.5	8192	4565	6	7Simple Dagger					13	13	2												1.8	15	0	43	1
	2	TRUE	6468	12.81	8192	3786	39	8Shiny Dirk		34			13	13	2												1.6	15	0	42	1
	2	TRUE	6437	4.29	8192	2763	14	8Fisherman Knife		9			13	13	2												1.4	15	0	40	1
	2		6455	7.5	8192	2088	15	6Long Crawler Limb		10			13	13	2							Sea Crawler		1	831	40	1.6	15	0	37	1
	2		20491	7.5	8192	5112	15	6Ritual Blade		10			13	13	2							Rathorian		1	3470	17	1.4	15	0	37	1
	2		26602	7	8192	15396	14	6Curvewood Dagger		12		1	13	13	4			148	1			The Fragments Within		5	4813		1.5	15	0	37	1
	2		22135	1.25	8192	2139	3	7Dirk					13	13	5												1.6	15	0	36	1
	2		20569	22.33	8192	5742	40	6Gemstone Dagger		35			13	13													1.5	15	0	31	1
	2		6442	1.07	8192	3296	3	7Deadman Dagger					13	13	2							Stephen Bhartec		1	1916	85	1.4	15	0	28	1
	2		20601	7.65	8192	6980	15	6Haggard's Dagger	1	10		1	13	13	4			-81	4			Dead-tooth Jack		5	1667		1.7	15	0	26	1
	2		20398	7.65	8192	7327	15	6Thun'grim's Dagger	1	10		2	13	13	4			-81	4			Forged Steel		5	1503		1.7	15	0	25	1
	2		20599	5.36	8192	3445	12	7Ceremonial Knife		5		2	13	13	4			85	0			At War With The Scarlet Crusade		5	372		1.4	15	0	22	1
	2		3006	4.33	8192	4302	10	7Small Green Dagger		5			13	13	2											85	1.5	15	0	22	1
	2		6442	1.43	8192	2484	4	7Small Knife					13	13													1.4	15	0	22	1
	2	TRUE	20383	7.06	8192	2765	23	8Hunting Knife		18			13	13	2												1.7	15	0	20	1
	2		20400	7.65	8192	6969	15	6Elunite Dagger	1	10		1	13	13	4			-81	4			Weapons of Elunite		5	1693		1.7	15	0	20	1
	2		20606	7.65	8192	6981	15	6Umbral Dagger	1	10		1	13	13	4			-81	4			Grey Iron Weapons		5	1682		1.7	15	0	20	1
	2		20534	1	8192	2787	3	7Trogg Dagger					13	13	2												1.5	15	0	20	1
	2	TRUE	4119	15.36	8192	4023	44	8Fine Pointed Dagger		39			13	13	2												1.4	15	0	19	1
	2		6442	0.94	8192	2092	2	7Worn Dagger					13	13													1.6	15	0	19	1
	2	TRUE	6445	8.93	8192	2766	29	8Deft Stiletto		24			13	13	2												1.4	15	0	18	1
	2		20607	9.38	8192	3222	19	6Wicked Dagger		14			13	13													1.6	15	0	18	1
	2	TRUE	4119	19.06	8192	13822	53	8Spiked Dagger		48			13	13	2												1.6	15	0	17	1
	2		13908	4.41	8192	4840	10	7Long Bayonet		7		1	13	13	4			12	0			Bounty on Murlocs		5	46		1.7	15	0	17	1
	2	TRUE	6460	2.06	8192	2138	7	8Sharpened Letter Opener		2			13	13	2	21											1.7	15	0	17	1
	2		6437	3.75	8192	3225	9	7Bloodstained Knife		4			13	13	2											1	1.6	15	0	16	1
	2		6472	3.21	8192	10547	8	7Camping Knife		2		1	13	13	4			1	0			Return to Bellowfiz		5	320		1.4	15	0	14	1
	2		6432	1.88	8192	3268	5	7Forsaken Dagger		2		2	13	13	4			85	0			The Scarlet Crusade		5	381		1.6	15	0	13	1
	2	TRUE	6444	5.36	8192	2764	18	8Small Dagger		13			13	13	2												1.4	15	0	11	1
	2		6444	3	8192	2502	7	7Scuffed Dagger		2			13	13													1.5	15	0	11	1
	2		6437	2	8192	2137	5	7Whittling Knife		1		2	13	13	4			215	1			Rite of Strength		5	757		1.5	15	0	11	1
	2		20602	7.65	8192	7116	15	6Heirloom Dagger	1	10		2	13	13	4			-81	4			Heirloom Weapon		5	1822		1.7	15	0	10	1
	2		6432	1.88	8192	2195	5	7Anvilmar Knife		1		1	13	13	4			1	0			The Troll Cave		5	182		1.6	15	0	10	1
	2		20441	9	8192	2664	18	6Spinner Fang		13			13	13													1.5	15	0	8	1
	2		6432	2.06	8192	5392	5	7Thistlewood Dagger		3		1	13	13	4			141	1			Webwood Venom		5	916		1.7	15	0	7	1
	2		6432	2	8192	2224	5	7Militia Dagger		2		1	13	13	4			12	0			Brotherhood of Thieves		5	18		1.5	15	0	7	1
	2		6457	2.06	8192	4925	5	7Primitive Hand Blade		2		2	13	13	4											14	1.7	15	0	7	1
	2		29915	34.44	8192	17738	52	5Claw of Celebras		47			22	22	2		1				-1	Celebras the Cursed		1	12225	2100	1.8	13	0	1411	1
	2		3007	16.47	8192	2942	26	5Iron Knuckles		21			13	13	2						-1	Bruegal Ironknuckle		1	1720	717	1.7	13	0	1001	1
	2		30595	48	8192	18203	66	4Eskhandar's Right Claw		60			21	21	2		1					Magmadar		1	11982	2717	1.5	13	0	858	1
	2		30594	48	8192	18202	66	4Eskhandar's Left Claw		60			22	22	2							Azuregos		1	6109		1.5	13	0	382	2
	2		35818	71.67	8192	23242	88	4Claw of the Frost Wyrm		60			22	22	2		1					Sapphiron		1	15989	3456	1.5	13	0	360	6
	2		23270	33.93	8192	11603	51	5Vilerend Slicer		46			21	21	2							The Behemoth		1	8924		1.4	13	0	306	1
	2		15720	16.56	8192	7683	34	7Bloody Brass Knuckles		29			13	13	2						-1	Interrogator Vishas		1	3983	796	1.6	13	0	305	1
	2		32615	42	8192	19910	65	4Arlokk's Grasp		60			22	22	2		1					High Priestess Arlokk		1	14515	1977	1.5	13	0	229	4
	2		23271	39.23	8192	12795	60	5Blood Talon		55			21	21													1.3	13	0	192	1
	2		31880	56.35	8192	19365	75	4Claw of the Black Drake		60			21	21	2		1					Firemaw		1	11983	2677	2.6	13	0	166	3
	2		32776	47.05	8192	19896	65	4Thekal's Grasp		60			21	21	2		1					High Priest Thekal		1	14509	1977	2.2	13	0	157	4
	2		34296	57.5	8192	21673	76	4Silithid Claw		60			21	21	2		1					Battleguard Sartura		1	15516	3428	1.6	13	0	112	5
	2		23742	39.44	8192	13198	60	5Hurd Smasher		55			13	13	2		1				-1	Ghok Bashguud		1	9718	1583	1.8	13	0	108	1
