|	|__name_enus	|__quality	|__icon	|__screenshot	|__jsonequip__arcsplpwr	|__jsonequip__arcres	|__jsonequip__armor	|__jsonequip__def	|__jsonequip__buyprice	|__jsonequip__atkpwr	|__jsonequip__agi	|__jsonequip__classes	|__jsonequip__cooldown	|__jsonequip__avgbuyout	|__jsonequip__displayid	|__jsonequip__dmgmax1	|__jsonequip__dmgmin1	|__jsonequip__dmgrange	|__jsonequip__dmgtype1	|__jsonequip__dps	|__jsonequip__dura	|__jsonequip__feratkpwr	|__jsonequip__healthrgn	|__jsonequip__firsplpwr	|__jsonequip__itemset	|__jsonequip__firres	|__jsonequip__frores	|__jsonequip__holsplpwr	|__jsonequip__frosplpwr	|__jsonequip__int	|__jsonequip__manargn	|__jsonequip__maxcount	|__jsonequip__mlecritstrkpct	|__jsonequip__mledmgmax	|__jsonequip__mledmgmin	|__jsonequip__mledps	|__jsonequip__mlehitpct	|__jsonequip__mlespeed	|__jsonequip__natsplpwr	|__jsonequip__races	|__jsonequip__reqskill	|__jsonequip__reqskillrank	|__jsonequip__parrypct	|__jsonequip__natres	|__jsonequip__reqfaction	|__jsonequip__reqlevel	|__jsonequip__rgdatkpwr	|__jsonequip__reqrep	|__jsonequip__rgdcritstrkpct	|__jsonequip__rgddmgmax	|__jsonequip__rgddmgmin	|__jsonequip__rgddps	|__jsonequip__rgdspeed	|__jsonequip__rgdhitpct	|__jsonequip__sellprice	|__jsonequip__shasplpwr	|__jsonequip__shares	|__jsonequip__sheathtype	|__jsonequip__slotbak	|__jsonequip__speed	|__jsonequip__splpen	|__jsonequip__splcritstrkpct	|__jsonequip__splhitpct	|__jsonequip__str	|__jsonequip__spi	|__jsonequip__splheal	|__jsonequip__sta	|__jsonequip__splpwr	|__attainable	|__flags2
1917	Jeweled Dagger	2	inv_weapon_shortblade_15	68911										410	20435	11	6	1	0	5.31	25													11	6	5.31		1.6								5									251			3	13	1.6							1		0	8192
21522	Shadowsong's Sorrow	4	inv_weapon_shortblade_25	410049							13				33992	127	68	1	0	57.35	75											1		127	68	57.35		1.7								60									142269			3	13	1.7				9			14		0	8192
15242	Honed Stiletto	2	inv_weapon_shortblade_01	169426										7800	28568	29	15	1	0	15.71	55													29	15	15.71		1.4								25									4426			3	13	1.4									0	8192
18491	Lorespinner	3	inv_weapon_shortblade_21	61382											30827	68	45	1	0	37.67	65									6	3			68	45	37.67		1.5																	40695			3	21	1.5					5		5		0	8192
2140	Carving Knife	2	inv_weapon_shortblade_01	451731										1000	6440	13	6	1	0	5.94	30													13	6	5.94		1.6								6									323			3	13	1.6									0	8192
19347	Claw of Chromaggus	4	inv_weapon_shortblade_28	345531											31865	90	36.99999905	1	0	42.33	75									17	4	1		90	36.99999905	42.33		1.5								60									152104			3	13	1.5							7	64	0	8192
15243	Deadly Kris	2	inv_weapon_shortblade_01	566635										11000	28348	35	18	1	0	18.93	55													35	18	18.93		1.4								31									7871			3	13	1.4									0	8192
10697	Enchanted Azsharite Felbane Dagger	2	inv_sword_31	36009											20570	70	37	1	0	35.67	55													70	37	35.67		1.5																	42044			3	13	1.5									0	8192
5279	Harpy Skinner	2	inv_weapon_shortblade_14	41105							3				20411	18	9	1	0	9.64	40													18	9	9.64		1.4																	1436			3	13	1.4									0	8192
12062	Skilled Fighting Blade	2	inv_sword_21	329486											25611	65	35	1	0	35.71	55													65	35	35.71		1.4																	40365			3	13	1.4									0	8192
19546	Sentinel's Blade	3	inv_weapon_shortblade_14	286715							13				32075	92	49	1	0	41.47	65											1		92	49	41.47		1.7								58									56143			3	13	1.7							5		0	8192
20070	Sageclaw	4	inv_sword_13	286661			35		442362						32648	95.30999832	46.31000023	1	0	41.65	75													95.30999832	46.31000023	41.65		1.7							509	60		7							88472			3	13	1.7		1					8	30	0	8192
21802	The Lost Kris of Zedd	3	inv_sword_32	4752											34478	82.75000191	41.75000095	1	0	41.5	65													82.75000191	41.75000095	41.5		1.5								60									70573			3	21	1.5		1					6	14	0	8192
2235	Brackclaw	2	inv_weapon_shortblade_15	70257							1			1200	20598	18	9	1	0	9.64	40													18	9	9.64		1.4								14									1281			3	13	1.4				1					0	8192
12260	Searing Golden Blade	2	inv_weapon_shortblade_05	27695											22258	39	21	1	0	21.43	55			10										39	21	21.43		1.4								34									10395			3	13	1.4									0	8192
3184	Hook Dagger	2	inv_weapon_shortblade_01	408138										1955	20396	20	10	1	0	10	40													20	10	10		1.5								15									1394			3	13	1.5									0	8192
21523	Fang of Korialstrasz	4	inv_weapon_shortblade_29	496703											33991	106.2	43.2	1	0	41.5	75									14		1		106.2	43.2	41.5		1.8								60									142805			3	21	1.8					13	121	9		0	8192
22266	Flarethorn	3	inv_spear_01	292677											6555	88	47	1	0	37.5	65			17						5				88	47	37.5		1.8								52									43878			7	13	1.8									0	8192
2632	Curved Dagger	2	inv_weapon_shortblade_01	459291										720	20473	15	8	1	0	7.19	35													15	8	7.19		1.6								9									605			3	13	1.6									0	8192
20578	Emerald Dragonfang	4	inv_weapon_shortblade_22	100846							12				33095	123	66	1	0	52.5	75											1		123	66	52.5		1.8								60									108499			3	13	1.8									0	8192
21244	Blessed Qiraji Pugio	4	inv_weapon_shortblade_35	410046						18					34142	134	72	1	0	60.59	75												1	134	72	60.59	1	1.7								60			1					1	165247			3	13	1.7							7		0	8192
14024	Frightalon	3	inv_weapon_shortblade_16	288876											20592	73	39	1	0	40	65													73	39	40		1.4								56									52422			3	13	1.4									0	8192
18838	Grand Marshal's Dirk	4	inv_weapon_shortblade_26	6931						28					31379	143	95	1	0	59.5	75												1	143	95	59.5		2								60			1						48458			3	13	2							7		0	8192
10049	Diabolist's Blade	2	inv_weapon_shortblade_02	0								256			20472	25	13	1	0	12.67	45													25	13	12.67		1.5																	2653	6		3	13	1.5									0	8192
4571	War Knife	2	inv_weapon_shortblade_15	461276										1400	20430	19	10	1	0	8.53	35													19	10	8.53		1.7								12									979			3	13	1.7									0	8192
2169	Buzzer Blade	1	inv_weapon_shortblade_05	115116										800	20347	19	10	1	0	9.67	40													19	10	9.67		1.5								16									943			3	13	1.5									0	8192
15241	Battle Knife	2	inv_weapon_shortblade_01	463277										4598	20414	28	15	1	0	13.44	50													28	15	13.44		1.6								21									3012			3	13	1.6									0	8192
5605	Pruning Knife	1	inv_weapon_shortblade_01	314580											3550	9	4	1	0	4.06	25													9	4	4.06		1.6																	150			3	13	1.6									0	8192
22803	Midnight Haze	4	inv_knife_1h_stratholme_d_02	10											35244	97.66000443	51.66000137	1	0	41.48	75									12		1		97.66000443	51.66000137	41.48		1.8								60									180171			3	13	1.8							20	85	0	8192
15247	Bloodstrike Dagger	2	inv_weapon_shortblade_03	117309											28327	85	45	1	0	38.24	55													85	45	38.24		1.7								59									50576			3	13	1.7									0	8192
15244	Razor Blade	2	inv_weapon_shortblade_01	70110										12300	3175	53	28	1	0	23.82	55													53	28	23.82		1.7								37									12769			3	13	1.7									0	8192
4088	Dreadblade	2	inv_sword_41	443438										16600	28520	55	29	1	0	28	55													55	29	28		1.5								42									18523			3	13	1.5									0	8192
15706	Hunt Tracker Blade	2	inv_weapon_shortblade_15	79152							8				26433	66	35	1	0	33.67	55													66	35	33.67		1.5																	33830			3	13	1.5					5				0	8192
5516	Threshadon Fang	0	inv_misc_bone_06	54807										300	8028	10	5	1	0	5	35													10	5	5		1.5								11									317			3	13	1.5									0	8192
21416	Kris of Unspoken Names	4	inv_weapon_shortblade_27	9925								256			33734	85.99999809	39	1	0	41.67	75				500					7				85.99999809	39	41.67		1.5								60												3	13	1.5							9	59	0	8192
23466	High Warlord's Spellblade	4	inv_weapon_shortblade_26	55559											36080	107	59	1	0	41.5	75									8				107	59	41.5		2								60									45671			3	13	2		1					14	72	0	8192
11635	Hookfang Shanker	3	inv_weapon_shortblade_10	63111											28779	65	35	1	0	35.71	65											1		65	35	35.71		1.4								49									35451			3	13	1.4									0	8192
18758	Specter's Blade	3	inv_weapon_shortblade_18	0											20574	96	51	1	0	40.83	65													96	51	40.83		1.8								57									54072			3	13	1.8									0	8192
1287	Giant Tarantula Fang	2	inv_misc_monsterfang_01	24110										700	6447	14	7	1	0	7.5	35													14	7	7.5		1.4								10									703			3	13	1.4							1		0	8192
22379	Shivsprocket's Shiv	3	inv_sword_21	764359											34859	82.05000114	42.04999924	1	0	41.37	65													82.05000114	42.04999924	41.37		1.5																	65446			3	21	1.5							13	13	0	8192
13360	Gift of the Elven Magi	3	inv_weapon_shortblade_15	262359											24046	81	43	1	0	41.33	65									10				81	43	41.33		1.5								58									56517			3	13	1.5					6		5		0	8192
6333	Spikelash Dagger	2	inv_weapon_shortblade_10	70109							2			3500	20604	28	14	1	0	11.05	45													28	14	11.05		1.9								17									1929			3	13	1.9							2		0	8192
1936	Goblin Screwdriver	2	inv_weapon_shortblade_05	58988							2			1499	20399	17	8	1	0	8.93	40													17	8	8.93		1.4								13									1113			3	13	1.4									0	8192
19965	Wushoolay's Poker	3	inv_sword_37	4704											32439	87.6	43.6	1	0	41	65										6	1		87.6	43.6	41		1.6								60									73565			3	21	1.6						31			0	8192
15246	Demon Blade	2	inv_weapon_shortblade_03	127063											20299	87	46	1	0	36.94	55													87	46	36.94		1.8								57									45704			3	13	1.8									0	8192
