"|","|__name_zhcn","|__quality","|__icon","|__screenshot","|__jsonequip__cooldown","|__jsonequip__armor","|__jsonequip__arcres","|__jsonequip__agi","|__jsonequip__atkpwr","|__jsonequip__avgbuyout","|__jsonequip__def","|__jsonequip__buyprice","|__jsonequip__classes","|__jsonequip__displayid","|__jsonequip__dmgmax1","|__jsonequip__dmgmin1","|__jsonequip__dmgrange","|__jsonequip__dmgtype1","|__jsonequip__dps","|__jsonequip__dura","|__jsonequip__manargn","|__jsonequip__mlecritstrkpct","|__jsonequip__healthrgn","|__jsonequip__firres","|__jsonequip__frores","|__jsonequip__holsplpwr","|__jsonequip__maxcount","|__jsonequip__int","|__jsonequip__mledmgmax","|__jsonequip__mledmgmin","|__jsonequip__mledps","|__jsonequip__mlehitpct","|__jsonequip__mlespeed","|__jsonequip__races","|__jsonequip__reqskill","|__jsonequip__reqskillrank","|__jsonequip__natres","|__jsonequip__parrypct","|__jsonequip__reqlevel","|__jsonequip__rgdcritstrkpct","|__jsonequip__rgdhitpct","|__jsonequip__sellprice","|__jsonequip__shares","|__jsonequip__sheathtype","|__jsonequip__slotbak","|__jsonequip__speed","|__jsonequip__splcritstrkpct","|__jsonequip__splpwr","|__jsonequip__spi","|__jsonequip__splheal","|__jsonequip__sta","|__jsonequip__str","|__attainable","|__flags2"
"17182","萨弗拉斯，炎魔拉格纳罗斯之手","5","inv_hammer_unique_sulfuras","330071","","","","","","","","","","29698","372","223","1","0","80.41","145","","","","30","","","1","","372","223","80.41","","3.7","","","","","","60","","","332623","","1","17","3.7","","","","","12","12","0","8192"
"6977","旋风之剑","3","inv_sword_15","11279","","","","","","","","","1","22731","124","82","1","0","35.52","100","","","","","","","","","124","82","35.52","","2.9","","","","","","","","","17325","","1","17","2.9","","","","","14","15","0","8192"
"2291","斩首者康恩","4","inv_axe_15","26280","","","","","","650000","","","","19305","205","136","1","0","47.36","120","","","","","","","","","205","136","47.36","","3.6","","","","","","44","","","44580","","1","17","3.6","","","","","","","0","8192"
"1982","夜刃","4","inv_sword_02","65245","","","","","","","","","","20191","146","97","1","0","43.39","120","","","","","","","","","146","97","43.39","","2.8","","","","","","39","","","29513","","1","17","2.8","","","","","","","0","8192"
"870","炽炎战斧","4","inv_axe_02","64004","","","","","","","","","","33458","141","93","1","0","40.34","120","","","","","","","","","141","93","40.34","","2.9","","","","","","35","","","21528","","1","17","2.9","","","","","","","0","8192"
"6976","旋风之锤","3","inv_hammer_08","351802","","","","","","","","","1","25079","146","97","1","0","35.74","100","","","","","","","","","146","97","35.74","","3.4","","","","","","","","","17264","","1","17","3.4","","","","","14","15","0","8192"
"2299","燃烧战斧","3","inv_axe_02","81513","","","","","","70000","","","","19389","110","73","1","0","27.73","100","","","","","","","","","110","73","27.73","","3.3","","","","","","28","","","8756","","1","17","3.3","","","","","","","0","8192"
"9425","厄运之锤","3","inv_weapon_halberd_08","25537","","","","","","","","","","22220","187","124","1","0","38.88","100","","","","","","","","","187","124","38.88","","4","","","","","","39","","","21489","","1","17","4","","","","","","","0","8192"
"2000","阿契厄斯","2","inv_sword_08","86293","","","","","","","","","","20251","95","63","1","0","23.94","85","","","","","","","","","95","63","23.94","","3.3","","","","","","","","","8827","","1","17","3.3","","","","","","","0","8192"
"18822","黑曜石之刃","4","inv_sword_28","224596","","","","","","","","","","34112","264","176","1","0","64.71","120","","","","","","","","","264","176","64.71","","3.4","","","","","","60","","","125768","","1","17","3.4","","","","","","42","0","8192"
"12592","沙赫拉姆黑剑","4","inv_sword_29","739903","","","","","","","","","","22906","250","166","1","0","59.43","120","","","","","","","","","250","166","59.43","","3.5","","","","","","58","","","95241","","1","17","3.5","","","","","","","0","8192"
"17193","萨弗隆战锤","4","inv_hammer_unique_sulfuras","83927","","","","","","","","","","29699","295","176","1","0","63.65","120","","","","","","","","","295","176","63.65","","3.7","","","","","","60","","","122311","","1","17","3.7","","","","","","","0","8192"
"13505","瑞文戴尔之剑","4","inv_sword_17","17354","","","","","","","","","","24166","257","171","1","0","59.44","120","","","20","","","","","","257","171","59.44","","3.6","","","","","","58","","","91345","","1","17","3.6","","","","","","","0","8192"
"647","命运","4","inv_sword_19","3693","","","","","","","","","","20190","168","112","1","0","53.85","120","","","","","","","","","168","112","53.85","","2.6","","","","","","52","","","70024","","1","17","2.6","","","","","","","0","8192"
"13018","刽子手之斧","3","inv_axe_24","59005","","","","","","","","","","23228","191","127","1","0","41.84","100","","","","","","","","","191","127","41.84","1","3.8","","","","","","43","","1","31967","","1","17","3.8","","","","","","23","0","8192"
"19106","冰刺长矛","3","inv_spear_04","70549","","","","21","","","","","","31613","233","155","1","0","53.89","100","","","","","","","","","233","155","53.89","","3.6","","","","","","","","","73353","","1","17","3.6","","","","","20","13","0","8192"
"9413","轰石之锤","3","inv_hammer_12","26423","","","","","","","","","","19620","190","126","1","0","42.7","100","","2","","","","","","","190","126","42.7","","3.7","","","","","","44","2","","32248","","1","17","3.7","","","","","","5","0","8192"
"22691","堕落的灰烬使者","4","inv_sword_2h_ashbringercorrupt","535497","","","","","","","","","","35097","389","259","1","0","90","120","","2","","","","","1","","389","259","90","1","3.6","","","","","","60","2","1","288527","","1","17","3.6","","","","","-25","","0","8192"
"17730","鳄齿利斧","3","inv_axe_04","64594","","","","","","","","","","29907","176","117","1","0","45.78","100","","","","","","","","","176","117","45.78","","3.2","","","","","","48","","","42951","","1","17","3.2","","","","","","","0","8192"
"9418","斩石者","3","inv_sword_47","69266","","","","","","","","","","20193","200","133","1","0","42.69","100","","","","","","","","","200","133","42.69","","3.9","","","","","","44","","","32851","","1","17","3.9","","","","","","","0","8192"
"13052","好战者","3","inv_sword_46","171769","","","","","","","","","","28624","162","108","1","0","45","100","","","","","","","","","162","108","45","3","3","","","","","","47","","3","41677","","1","17","3","","","","","","3","0","8192"
"6909","海蛇之击","3","inv_sword_42","65623","","","","","","","","","","20185","102","67","1","0","25.61","100","","","","","","","","","102","67","25.61","","3.3","","","","","","26","","","7155","","1","17","3.3","","","","","","","0","8192"
"19364","阿什坎迪，兄弟会之剑","4","inv_sword_50","1321","","","","","86","","","","","32000","344","229","1","0","81.86","120","","","","","","","","","344","229","81.86","","3.5","","","","","","60","","","228517","","1","17","3.5","","","","","33","","0","8192"
"7723","莫格莱尼的力量","3","inv_mace_13","9275","","","","","","","","","","21252","131","87","1","0","38.93","100","","","","","","","","","131","87","38.93","","2.8","","","","","","39","","","22567","","1","17","2.8","","","16","","17","","0","8192"
"11931","恐怖复仇者","3","inv_axe_22","307471","","","","","30","","","","","28719","225","149","1","0","50.54","100","","1","","","","","","","225","149","50.54","","3.7","","","","","1","54","1","","58103","","1","17","3.7","","","","","","","0","8192"
"7730","钴蓝粉碎者","3","inv_hammer_04","64994","","","","","","29999","","","","15466","111","74","1","0","28.91","100","","","","","","","","","111","74","28.91","","3.2","","","","","","29","","","10146","","1","17","3.2","","","","","","","0","8192"
"17076","削骨之刃","4","inv_sword_12","308374","","","","","","","","","","32199","310","206","1","0","75.88","120","","1","","","","","","","310","206","75.88","","3.4","","","","","","60","1","","196438","","1","17","3.4","","","","","16","","0","8192"
"12992","灼热之刃","3","inv_sword_21","29870","","","","","","650","","","","20071","59","39","1","0","19.6","80","","","","","","","","","59","39","19.6","","2.5","","","","","","18","","","3260","","1","17","2.5","","","","","","","0","8192"
"13285","刀片斧","3","inv_weapon_halberd_11","5439","","","","","","","","","","23908","239","159","1","0","49.75","100","","","","","","","","","239","159","49.75","","4","","","","","","53","","","54924","","1","17","4","","","","","","","0","8192"
"17766","瑟莱德丝公主的节杖","3","inv_hammer_10","56411","","","","","","","","","","29939","190","126","1","0","46.47","100","","","","","","","","","190","126","46.47","","3.4","","","","","","49","","","44863","","1","17","3.4","","","","","","","0","8192"
"10758","石猪剑","3","inv_sword_45","609153","","","","","","","","","","19779","148","98","1","0","37.27","100","","","","","","","","","148","98","37.27","","3.3","","","","","","35","","","20144","","1","17","3.3","","","","","8","20","0","8192"
"2877","战斗双刃刀","3","inv_sword_23","74072","","","","","","21800","","","","20151","97","64","1","0","27.76","100","","","","","","","","","97","64","27.76","","2.9","","","","","","28","","","8524","","1","17","2.9","","","15","","10","","0","8192"
"19323","无坚不摧之力","4","inv_hammer_13","32244","","","","","","","","","","31817","292","175","1","0","61.45","120","","2","","","","","1","","292","175","61.45","","3.8","","","","","","60","2","","312980","","1","17","3.8","","","","","15","19","0","8192"
"1604","炫彩之剑","2","inv_sword_22","805040","","","7","","","","","","","20188","150","100","1","0","34.72","85","","","","7","7","","","","150","100","34.72","","3.6","","","","7","","40","","","19463","7","1","17","3.6","","","","","","","0","8192"
"9416","格瑞姆洛克之矛","3","inv_spear_08","3370","","","","15","","","","","","22233","133","88","1","0","40.93","100","","","","","","","","","133","88","40.93","","2.7","","","","","","42","","","28218","","2","17","2.7","","","","","15","10","0","8192"
"17104","脊骨收割者","4","inv_axe_09","1941","","","","","34","","","","","32200","305","203","1","0","74.71","120","","","","","","","","","305","203","74.71","","3.4","","","","","","60","","","179067","","1","17","3.4","","","","","","","0","8192"
"7230","重拳先生的大锤","3","inv_hammer_09","18934","","","","4","","","","","","19610","83","55","1","0","19.71","80","","","","","","","","","83","55","19.71","","3.5","","","","","","18","","","3103","","1","17","3.5","","","","","","11","0","8192"
"6327","抚慰者","3","inv_mace_09","243626","","","","","","","","","","11271","156","104","1","0","32.5","100","","","","","","","","","156","104","32.5","","4","","","","","","32","","","12823","","1","17","4","","","","","7","18","0","8192"
"7689","恐怖黎明","3","inv_sword_12","304143","","","","","","","","","","20172","105","70","1","0","30.17","100","","","","","","","","","105","70","30.17","","2.9","","","","","","30","","","11124","","1","17","2.9","","","","","15","10","0","8192"
"13045","粘性战锤","3","inv_mace_13","3752","","","","","34","","","","","25627","105","70","1","0","30.17","100","","","","","","","","","105","70","30.17","","2.9","","","","","","30","","","10809","","1","17","2.9","","","","","6","3","0","8192"
"16039","塔基尔萨歌唱之剑","3","inv_sword_41","16540","","","","","","","","","","26674","194","129","1","0","48.94","100","","","","","","","","","194","129","48.94","","3.3","","","","","","52","","","53598","","1","17","3.3","","","","","","","0","8192"
"12790","奥金圣剑","3","inv_sword_39","62583","","","","","","","","","","24813","194","129","1","0","53.83","100","","","","","","","","","194","129","53.83","","3","","","","","","58","","","74619","","1","17","3","","","","","","","0","8192"
"13348","斩魔者","3","inv_sword_14","541157","","","","","","","","","","24049","246","163","1","0","53.82","100","","","","","","","","","246","163","53.82","","3.8","","","","","","58","","","72770","","1","17","3.8","","","","","","","0","8192"
"9459","瑟玛普拉格的左臂","3","inv_axe_03","33256","","","","","","","","","","19298","106","70","1","0","32.59","100","","","","","","","","","106","70","32.59","","2.7","","","","","","32","","","13560","","1","17","2.7","","","","","7","18","0","8192"
"13016","血杀斧","3","inv_axe_10","112308","","","","","","30000","","","","28791","84","55","1","0","21.72","95","","","","","","","","","84","55","21.72","","3.2","","","","","","21","","","4771","","1","17","3.2","","","","","","","0","8192"
"12975","勘察员战斧","3","inv_axe_03","11763","","","","","","15000","","","","28804","51","33","1","0","17.5","75","","","","","","","","","51","33","17.5","","2.4","","","","","","15","","","2205","","1","17","2.4","","","","","8","7","0","8192"
"12796","泰坦之锤","3","inv_hammer_09","451744","","","","","","","","","","25047","246","163","1","0","53.82","100","","","","","","","","","246","163","53.82","","3.8","","","","","","58","","","70912","","1","17","3.8","","","","","","15","0","8192"
"18725","和平制造者","3","inv_spear_07","61886","","","","","56","","","","","31174","206","137","1","0","50.44","100","","1","","","","","","","206","137","50.44","","3.4","","","","","","54","1","","59927","","2","17","3.4","","","","","","","0","8192"
"3822","黑暗符文剑","2","inv_sword_02","34049","","","","","","","","","","20180","86","57","1","0","21.67","85","","","","","","","","","86","57","21.67","","3.3","","","","","","","","","6481","","1","17","3.3","","","","","","","0","8192"
"2915","塔兰碎冰者","4","inv_hammer_02","11270","","","","","","","","","","19664","137","91","1","0","49.57","120","","","","","","","","","137","91","49.57","","2.3","","","","","","47","","","55289","","1","17","2.3","","","","","","","0","8192"
"13043","泰坦之刃","3","inv_sword_07","32478","","","","","","140000","","","","28675","169","112","1","0","42.58","100","","","","","","","","","169","112","42.58","","3.3","","","","","","44","","","32389","","1","17","3.3","","","","","24","10","0","8192"
"13051","女巫之怒","3","inv_sword_35","71299","","","","","","","","","","28598","131","87","1","0","38.93","100","","","","","","","","","131","87","38.93","","2.8","","","","","","39","","","22911","","1","17","2.8","","","","","","","0","8192"
"9475","魔鬼割皮刀","3","inv_spear_01","71110","","","","","","","","","","22209","149","99","1","0","42.76","100","","","","","","","","","149","99","42.76","","2.9","","","","","","44","","","33346","","2","17","2.9","","","","","","","0","8192"
"22798","米奈希尔之力","4","inv_mace_25","534998","","","","","","","","","","35239","435","289","1","0","95.26","120","","2","","","","","","","435","289","95.26","","3.8","","","","","","60","2","","326465","","1","17","3.8","","","","","46","20","0","8192"
"11608","黑铁粉碎者","3","inv_hammer_09","28657","","","","","","","","","","25046","211","140","1","0","47.43","100","","","","","","","","","211","140","47.43","","3.7","","","","","","50","","","45760","","1","17","3.7","","","","","","","0","8192"
"17073","震地者","4","inv_hammer_04","6350","","","","","22","","","","","32162","263","175","1","0","62.57","120","","","","","","","","","263","175","62.57","","3.5","","","","","","60","","","113631","","1","17","3.5","","","","","","","0","8192"
"10570","杀人者","3","inv_axe_04","276940","","","","","38","","","","","28796","133","88","1","0","34.53","100","","","","","","","","","133","88","34.53","","3.2","","","","","","34","","","15875","","1","17","3.2","","","","","8","","0","8192"
"10652","山岭巨人的意志","2","inv_weapon_halberd_05","293616","","","","","","","","","","22213","133","88","1","0","39.46","85","","","","","","","","","133","88","39.46","","2.8","","","","","","","","","30308","","1","17","2.8","","","","","14","15","0","8192"
"13003","亚历山大的战斧","3","inv_weapon_halberd_02","183475","","","","17","","","","","","28794","185","123","1","0","48.13","100","","","","","","","","","185","123","48.13","","3.2","","","","","","51","","","49640","","1","17","3.2","","","","","16","16","0","8192"
"11921","磐石巨锤","3","inv_hammer_08","262841","","30","","","","","","","","25625","159","105","1","0","48.89","100","","2","","","","","","","159","105","48.89","1","2.7","","","","","","52","2","1","54167","","1","17","2.7","","","","","","","0","8192"
"7753","溢血者","3","inv_axe_10","63656","","","","","","11000","","","","19371","87","57","1","0","26.67","100","","","","","","","","","87","57","26.67","","2.7","","","","","","27","","","7874","","1","17","2.7","","","","","","","0","8192"
"20504","光铸利刃","3","inv_sword_39","55943","","","","","","","","","","33033","178","118","1","0","44.85","100","","","","10","10","16","","","178","118","44.85","","3.3","","","","","","47","","","37873","10","1","17","3.3","","","","","9","9","0","8192"
"13017","地狱杀手战斧","3","inv_axe_24","183489","","","","","","","","","","25599","124","82","1","0","35.52","100","","","","","","","","","124","82","35.52","","2.9","","","","","","35","","","17209","","1","17","2.9","","","","","","","0","8192"
"7960","真银圣剑","3","inv_sword_19","449054","","","","","","","","","","23264","162","108","1","0","45","100","","","","","","","","","162","108","45","","3","","","","","","47","","","38548","","1","17","3","","","","","","","0","8192"
"2523","巨型战斧","1","inv_weapon_halberd_06","67835","","","","","","12000","","28285","","22216","102","68","1","0","22.37","85","","","","","","","","","102","68","22.37","","3.8","","","","","","30","","","5657","","1","17","3.8","","","","","","","0","8192"
"13982","凯尔达隆战剑","3","inv_sword_39","25260","","","","","","","","","","26676","214","142","1","0","53.94","100","","","","","","","","","214","142","53.94","","3.3","","","","","","","","","69826","","1","17","3.3","","","","","","","0","8192"
"9391","巨铲","3","inv_misc_shovel_02","400686","","","","","20","","","","1","18269","133","88","1","0","32.5","100","","","","","","","","","133","88","32.5","","3.4","","","","","","32","","","12831","","1","17","3.4","","","","","15","","0","8192"
"13167","欧莫克之拳","3","inv_hammer_04","83912","","","","","","","","","","25180","204","135","1","0","51.36","100","","","","","","","","","204","135","51.36","","3.3","","","","","","55","","","59410","","1","17","3.3","","","","","12","29","0","8192"
"1263","碎灵","4","inv_weapon_halberd_10","115411","","","","","","","","","","22215","143","95","1","0","56.67","120","","","","","","","","","143","95","56.67","","2.1","","","","","","55","","","79064","","1","17","2.1","","","","","","","0","8192"
"4128","银铲","2","inv_misc_shovel_02","83902","","","","","","","","","","18269","134","89","1","0","30.14","85","","","","","","","","","134","89","30.14","","3.7","","","","","","","","","14587","","1","17","3.7","","","15","","4","","0","8192"
"1318","黑夜之斧","3","inv_throwingaxe_06","477377","","","","","","30000","","","","19290","78","52","1","0","19.7","80","","","","","","","","","78","52","19.7","","3.3","","","","","","18","","","3066","","1","17","3.3","","","","","","","0","8192"
"21134","疯狂黑暗之刃","4","inv_axe_24","403564","","","","19","","","","","","33435","364","242","1","0","86.57","120","","","","","","","1","","364","242","86.57","","3.5","","","","","","60","","","266569","","1","17","3.5","","","","","25","35","0","8192"
"9490","高能机械切割器","3","inv_sword_37","338018","","","","5","","","","","","18409","92","61","1","0","23.91","100","","","","","","","","","92","61","23.91","","3.2","","","","","","24","","","6121","","1","17","3.2","","","","","","14","0","8192"
"1722","刺石战锤","3","inv_hammer_04","183488","","","","","","40000","","","","15467","143","95","1","0","37.19","100","","","","","","","","","143","95","37.19","","3.2","","","","10","","37","","","19407","","1","17","3.2","","","","","","20","0","8192"
"9385","上古卫士","3","inv_sword_41","196110","","100","","","","27900","10","","","20249","117","77","1","0","31.29","100","","","","","","","","","117","77","31.29","","3.1","","","","","","31","","","12280","","1","17","3.1","","","","","","","0","8192"
"4818","刽子手之剑","2","inv_sword_28","68049","","","","","","","","14273","","20155","65","43","1","0","15.88","75","","","","","","","","","65","43","15.88","","3.4","","","","","","19","","","2854","","1","17","3.4","","","","","","8","0","8192"
"3209","上古长剑","2","inv_sword_10","167287","","","","","","","","","","20250","86","57","1","0","21.67","85","","","","","","","","","86","57","21.67","","3.3","","","","","","","","","6783","","1","17","3.3","","","","","6","9","0","8192"
"6741","兽人军用剑","1","inv_sword_13","19786","","","","","","","","","","20177","68","45","1","0","18.23","85","","","","","","","","","68","45","18.23","","3.1","","","","","","","","","3014","","1","17","3.1","","","","","","","0","8192"
"12782","腐蚀","3","inv_sword_07","69062","","","","","","","","","","24255","179","119","1","0","49.67","100","","","","","","","","","179","119","49.67","","3","","","","","","53","","","56808","","1","17","3","","","-40","","30","30","0","8192"
"22348","杜姆鲁斯","3","inv_hammer_10","9521","","","","","","","","","","35010","265","158","1","0","55.66","100","","","","","","","","","265","158","55.66","1","3.8","","","","","","","","1","76507","","1","17","3.8","","","","","22","22","0","8192"
"4983","碎石之锤","2","inv_hammer_17","61386","","","","","34","","","","","19596","139","92","1","0","31.22","85","","","","","","","","","139","92","31.22","","3.7","","","","","","","","","16837","","1","17","3.7","","","","","","","0","8192"
"13042","治安官之剑","3","inv_sword_41","20919","","","","","","120000","","","","28678","145","96","1","0","36.52","100","","","","","","","","","145","96","36.52","","3.3","","","","","","36","","","17596","","1","17","3.3","","","10","","15","8","0","8192"
"2801","汉娜之刃","4","inv_sword_10","799938","","","","11","","","","","","5193","152","101","1","0","60.24","120","","","","","","","1","11","152","101","60.24","","2.1","","","","","","59","","","104729","","1","17","2.1","","","11","","11","11","0","8192"
"2205","暮色之剑","3","inv_sword_41","69395","","","","","","","","","","20153","86","57","1","0","21.03","90","","","","","","","","","86","57","21.03","","3.4","","","","","","20","","","3961","","1","17","3.4","","","","","","","0","8192"
"18520","残暴之刃","3","inv_sword_11","342969","","","","","60","","","","","30853","207","138","1","0","53.91","100","","1","","","","","","","207","138","53.91","","3.2","","","","","","58","1","","73101","","1","17","3.2","","","","","","","0","8192"
"17074","暗影之击","4","inv_spear_08","276699","60000","","","","","","","","","29176","221","147","1","0","59.35","120","","","","","","","","","221","147","59.35","","3.1","","","","","","58","","","98514","","2","17","3.1","","","","","","","0","8192"
"3203","厚重三棱锤","3","inv_mace_13","66329","","","","","","599","","","","5228","66","44","1","0","22.92","95","","","","","","","","","66","44","22.92","","2.4","","","","","","23","","","5436","","1","17","2.4","","","","","10","10","0","8192"
"23171","斩首利斧","3","inv_axe_03","83353","","","","","","","","","","28804","76","50","1","0","21","90","","","","","","","","","76","50","21","","3","","","","","","20","","","4213","","1","17","3","","","","","","14","0","8192"
"19167","黑色怒火","4","inv_spear_08","19102","","","","","","","","","","31720","158","105","1","0","62.62","120","","1","","10","","","","","158","105","62.62","","2.1","","","","","","60","1","","116531","","2","17","2.1","","","","","15","35","0","8192"
"12989","石像鬼之牙","3","inv_spear_05","593533","","60","","","","4500","","","","28758","66","44","1","0","18.97","80","","","","","","","","","66","44","18.97","","2.9","","","","","","20","","","2854","","2","17","2.9","","","","","","10","0","8192"
"18876","大元帅的双刃刀","4","inv_sword_39","228959","","","","","","","","","","31996","353","235","1","0","77.37","120","","1","","","","","","","353","235","77.37","","3.8","","","","","","60","1","","60118","","1","17","3.8","","","","","41","26","0","8192"
"5194","工头战斧","3","inv_throwingaxe_06","9317","","","","","","","","","","19296","64","42","1","0","19.63","80","","","","","","","","","64","42","19.63","","2.7","","","","","","18","","","3079","","1","17","2.7","","","8","","8","","0","8192"
"3194","黑暗怨念","3","inv_mace_01","407924","","","","","","750","","","","19622","73","48","1","0","18.33","75","","","","","","","","","73","48","18.33","","3.3","","","","","","16","","","2495","","1","17","3.3","","","","","","","0","8192"
"9521","裂颅者","2","inv_axe_06","64898","","","","","","","","","","19307","105","70","1","0","30.17","85","","","","","","","","","105","70","30.17","","2.9","","","","","","","","","14382","","1","17","2.9","","","","","4","15","0","8192"
"15424","奥格瑞玛之斧","2","inv_axe_04","124367","","","","","","","","","","3243","47","31","1","0","11.82","60","","","","","","","","","47","31","11.82","","3.3","","","","","","","","","1404","","1","17","3.3","","","","","3","3","0","8192"
"11816","安格弗的战斧","3","inv_weapon_halberd_06","83345","","","","","","","","","","22212","150","100","1","0","48.08","100","","","","","","","","","150","100","48.08","","2.6","","","","","","51","","","48882","","1","17","2.6","","","","","11","27","0","8192"
"18420","碾骨者","3","inv_mace_02","9087","","","","","","","","","","30792","194","129","1","0","53.83","100","","1","","","","","","","194","129","53.83","","3","","","","","","","1","","71236","","1","17","3","","","","","","30","0","8192"
"1566","人民军之剑","2","inv_sword_25","11758","","","","","","","","","","20078","39","26","1","0","11.21","60","","","","","","","","","39","26","11.21","","2.9","","","","","","","","","1132","","1","17","2.9","","","","","5","","0","8192"
"9481","牛头怪","3","inv_axe_03","83354","","","","","","","","","","19309","164","109","1","0","42.66","100","","","","","","","","","164","109","42.66","","3.2","","","","","","44","","","34067","","1","17","3.2","","","5","","24","8","0","8192"
"11907","野兽斩杀者","2","inv_axe_10","62321","","","","","","","","","","28073","169","112","1","0","42.58","85","","","","","","","","","169","112","42.58","","3.3","","","","","","","","","41050","","1","17","3.3","","","","","","","0","8192"
"3488","铜质战斧","2","inv_throwingaxe_02","83329","","","","","","825","","","","8516","35","23","1","0","9.06","50","","","","","","","","","35","23","9.06","","3.2","","","","","","8","","","613","","1","17","3.2","","","","","3","","0","8192"
"5423","博艾恩之牙","3","inv_axe_17","63520","","","","","","44999","","","","19221","53","35","1","0","17.6","75","","","","","","","","","53","35","17.6","","2.5","","","","","","15","","","2084","","1","17","2.5","","","4","","","9","0","8192"
"13049","长者双刃刀","3","inv_sword_46","407927","","","","","","7600","10","","","28707","80","53","1","0","23.75","100","","","","","","","","","80","53","23.75","","2.8","","","","","","26","","","6191","","1","17","2.8","","","4","","","","0","8192"
"13046","布兰卡德的战锤","3","inv_hammer_04","7367","","","","","","","","","","28677","162","107","1","0","43.39","100","","","","5","","","","","162","107","43.39","","3.1","","","","","","45","","","35042","","1","17","3.1","","","","","15","20","0","8192"
"5815","冰川石","2","inv_mace_09","82427","","","","","","","","","","9057","91","60","1","0","20.97","85","","","","","","","","","91","60","20.97","","3.6","","","","","","","","","5871","","1","17","3.6","","","","","","","0","8192"
"18531","坚硬巨槌","3","inv_hammer_22","52431","","250","","","","","8","","","30867","204","135","1","0","52.97","100","","","","","","","","","204","135","52.97","","3.2","","","","","","57","","","65383","","1","17","3.2","","","","","12","","0","8192"
"20696","水晶尖刺槌","3","inv_hammer_10","9622","","","","","","","","","","33143","252","168","1","0","53.85","100","","2","","","","","","","252","168","53.85","","3.9","","","","","","58","2","","70171","","1","17","3.9","","","","","","16","0","8192"
